id,created,expo,side
085269d6efb4470496bcef61016d0137,16.08.2019 18:23,BMBF,left
841b2ebbb86e440ebd4a333b31d2da56,16.10.2019 09:41,BMBF,left
b5147833a2b042be8e6ccc5808a12fb3,16.10.2019 10:01,BMBF,left
7c993225101d4b8796ae8eb568d66f77,16.10.2019 11:24,BMBF,left
72fc9948431149949d661b5f9a6fa19d,16.10.2019 11:38,BMBF,left
bc0c2022c42544238e7d4c200822bbaf,16.10.2019 11:40,BMBF,left
9905f5199a85452d9a09086b88267a53,16.10.2019 11:42,BMBF,left
80e158e4720e42b0a7d62ce628406ff8,16.10.2019 11:44,BMBF,left
3844f87761674380a8b70cb4e75d15ea,16.10.2019 12:33,BMBF,left
d34b3606fdc54b0696a08aa73a4ddabf,16.10.2019 12:37,BMBF,left
744f91d3526a4cf9b928f907c0357f8c,16.10.2019 12:40,BMBF,left
281d70817b5e4e118e5066a3f6fd8985,16.10.2019 12:45,BMBF,left
fcc1ffdfa6bc4165b77625897c413d01,16.10.2019 12:48,BMBF,left
27e7087021a44422ab12e0f054b3bb2b,16.10.2019 15:04,BMBF,left
78e8b4101e574a019f465cb90246dd8b,16.10.2019 15:17,BMBF,left
61282e00bee6479484ad902a82dcccfe,16.12.2019 12:21,BMBF,left
751efc2ae3e044149d9da8744d1a748e,16.12.2019 13:30,BMBF,left
5cf58004065b46159213772b4d9d02d3,16.12.2019 13:46,BMBF,left
7d9b0490ad76410d8746832f02eced06,16.12.2019 13:50,BMBF,left
2c6ec3f4a7134eb8894227a37f5e2d79,16.12.2019 16:03,BMBF,left
460c045bdc774415b7cc69324aea28b0,16.12.2019 17:48,BMBF,left
f2980db0ea344f0a8924ca3b97142150,16.12.2019 18:22,BMBF,left
aa93378271a74f76a64b60d390051619,16.12.2019 18:29,BMBF,left
f06c7fb8efe54218b393ebce45b5e50a,16.12.2019 19:09,BMBF,left
9bf58f890fa24073acbabc0765ac75ff,16.12.2019 19:44,BMBF,left
0dd8c314b3574e5b9d84cc91df2a8c69,17.07.2019 10:37,BMBF,left
ebffe300d96b42aa8f866ccc50512d1f,17.07.2019 10:40,BMBF,left
b6f24b88446440dbbb54530229a6315a,17.07.2019 10:44,BMBF,left
565cb858a7e4406f8644905460e12711,17.07.2019 10:52,BMBF,left
b65691f661324b2cb58c57de713c1c9e,17.07.2019 16:26,BMBF,left
f0909f88c8d14b23b65df8b51e41e74e,17.07.2019 16:31,BMBF,left
